action,sku,name,ean,originalSku,originalBrand,error
WOULD_DELETE,0126-4099684781677,TENIS  PUMA RICKIE CLASSIC JR  PUMA BLACK/PUMA WHIT,4099684781677,2820-4099684781677,A DEFINIR,
WOULD_DELETE,0126-4067979726740,TENIS PUMA CLUB II ERA  FROSTED DEW-PUMA WHI,4067979726740,2820-4067979726740,A DEFINIR,
WOULD_DELETE,0126-4067979528818,TENIS PUMA CLUB II ERA  PUMA BLACK-PUMA WHIT,4067979528818,2820-4067979528818,A DEFINIR,
WOULD_DELETE,0126-4063697227897,BERMUDA PERFORMANCE WOVEN 3 SHORT W  PUMA BLACK,4063697227897,2820-4063697227897,A DEFINIR,
WOULD_DELETE,0126-4069156027435,CAMISETA M/C   SS TEE M  LEMON SHEBERT,4069156027435,2820-4069156027435,A DEFINIR,
WOULD_DELETE,0126-4069156027350,CAMISETA M/C   SS TEE M  BLUE CRYSTAL,4069156027350,2820-4069156027350,A DEFINIR,
WOULD_DELETE,0126-4099685811519,REGATA  TANK W  GARNET ROSE,4099685811519,2820-4099685811519,A DEFINIR,
WOULD_DELETE,0126-4067981479658,TOP 4KEEPS RUN BRA  FIZZY APPLE,4067981479658,2820-4067981479658,A DEFINIR,
KEEP_NO_EAN,0126-4099685812622,CAMISETA M/C MENS GRAPHIC EMBLEM TEE WHITE PEQ,,,,
KEEP_NO_EAN,0126-4099685812639,CAMISETA M/C MENS GRAPHIC EMBLEM TEE WHITE MED,,,,
KEEP_NO_EAN,0126-4099685812646,CAMISETA M/C MENS GRAPHIC EMBLEM TEE WHITE GRD,,,,
KEEP_NO_EAN,0126-4099685812653,CAMISETA M/C MENS GRAPHIC EMBLEM TEE WHITE EGR,,,,
WOULD_DELETE,0126-4067984131676,BERMUDA M TAD TECH FABRIC MIX SHORT  BLACK/RED FIRE,4067984131676,2820-4067984131676,A DEFINIR,
KEEP_NO_EAN,0126-4067984311856,CAMISETA M/C M RUN VELOCITY TEE (POLY) WHITE PEQ,,,,
KEEP_NO_EAN,0126-4067984311917,CAMISETA M/C M RUN VELOCITY TEE (POLY) WHITE MED,,,,
KEEP_NO_EAN,0126-4067984311900,CAMISETA M/C M RUN VELOCITY TEE (POLY) WHITE GRD,,,,
KEEP_NO_EAN,0126-4067984311863,CAMISETA M/C M RUN VELOCITY TEE (POLY) WHITE EGR,,,,
KEEP_NO_EAN,0126-4069156027879,CAMISETA M/C TAD BIG LOGO TEE BLACK PEQ,,,,
KEEP_NO_EAN,0126-4069156027930,CAMISETA M/C TAD BIG LOGO TEE BLACK MED,,,,
KEEP_NO_EAN,0126-4069156027923,CAMISETA M/C TAD BIG LOGO TEE BLACK GRD,,,,
WOULD_DELETE,0126-4063697311756,BERMUDA ESS SHORTS 10  PEACOAT,4063697311756,2820-4063697311756,A DEFINIR,
WOULD_DELETE,0126-4065453049125,AGASALHO INDIVIDUALRISE TRACKSUIT  PUMA BLACK-ULTRA ORA,4065453049125,2820-4065453049125,A DEFINIR,
KEEP_NO_EAN,0126-4067983397462,CAMISETA M/C ESS NO 1 LOGO TEE W WHITE PEQ,,,,
KEEP_NO_EAN,0126-4067983397516,CAMISETA M/C ESS NO 1 LOGO TEE W WHITE MED,,,,
KEEP_NO_EAN,0126-4067983397509,CAMISETA M/C ESS NO 1 LOGO TEE W WHITE GRD,,,,
KEEP_NO_EAN,0126-4067983297380,CAMISETA M/C ESS NO 1 LOGO TEE M WHITE PEQ,,,,
KEEP_NO_EAN,0126-4067983297441,CAMISETA M/C ESS NO 1 LOGO TEE M WHITE MED,,,,
KEEP_NO_EAN,0126-4067983297434,CAMISETA M/C ESS NO 1 LOGO TEE M WHITE GRD,,,,
KEEP_NO_EAN,0126-4067983297397,CAMISETA M/C ESS NO 1 LOGO TEE M WHITE EGR,,,,
WOULD_DELETE,0126-4067983319600,REGATA ESS NO 1 LOGO SLEEVELESS TEE  WHITE,4067983319600,2820-4067983319600,A DEFINIR,
KEEP_NO_EAN,0126-4067983664786,CAMISETA M/C PUMATECH BETTER TEE BLACK PEQ,,,,
KEEP_NO_EAN,0126-4067983664823,CAMISETA M/C PUMATECH BETTER TEE BLACK MED,,,,
KEEP_NO_EAN,0126-4067983664816,CAMISETA M/C PUMATECH BETTER TEE BLACK GRD,,,,
KEEP_NO_EAN,0126-4067983664793,CAMISETA M/C PUMATECH BETTER TEE BLACK EGR,,,,
WOULD_DELETE,0126-4067983322235,CAMISETA M/C PUMA CLASS GRAPHIC TEE  BLACK,4067983322235,2820-4067983322235,A DEFINIR,
WOULD_DELETE,0126-4067983325397,CAMISETA M/C ESS 2 COLOR NO 1 LOGO TEE  SUNNY YELLOW,4067983325397,2820-4067983325397,A DEFINIR,
WOULD_DELETE,0126-4067983325090,CAMISETA M/C ESS 2 COLOR SMALL NO 1 LOGO  WHITE,4067983325090,2820-4067983325090,A DEFINIR,
KEEP_NO_EAN,0126-4067983620638,REGATA ESS SLIM TANK BLACK PEQ,,,,
KEEP_NO_EAN,0126-4067983620683,REGATA ESS SLIM TANK BLACK MED,,,,
KEEP_NO_EAN,0126-4067983620676,REGATA ESS SLIM TANK BLACK GRD,,,,
KEEP_NO_EAN,0126-4067983620645,REGATA ESS SLIM TANK BLACK EGR,,,,
KEEP_NO_EAN,0126-4069156013070,CAMISETA M/C ESS SMALL PUMA LOGO POLY TE BLACK PEQ,,,,
KEEP_NO_EAN,0126-4069156013131,CAMISETA M/C ESS SMALL PUMA LOGO POLY TE BLACK MED,,,,
KEEP_NO_EAN,0126-4069156013124,CAMISETA M/C ESS SMALL PUMA LOGO POLY TE BLACK GRD,,,,
KEEP_NO_EAN,0126-4069156013087,CAMISETA M/C ESS SMALL PUMA LOGO POLY TE BLACK EGR,,,,
KEEP_NO_EAN,0126-4069156012837,CAMISETA M/C ESS SMALL PUMA LOGO POLY TE COOL LIGHT GRAY PEQ,,,,
KEEP_NO_EAN,0126-4069156012899,CAMISETA M/C ESS SMALL PUMA LOGO POLY TE COOL LIGHT GRAY MED,,,,
KEEP_NO_EAN,0126-4069156012882,CAMISETA M/C ESS SMALL PUMA LOGO POLY TE COOL LIGHT GRAY GRD,,,,
KEEP_NO_EAN,0126-4069156012844,CAMISETA M/C ESS SMALL PUMA LOGO POLY TE COOL LIGHT GRAY EGR,,,,
KEEP_NO_EAN,0126-4069156182011,CAMISETA M/C ESS PUMA LOGO POLY TEE M PUMA BLACK PEQ,,,,
KEEP_NO_EAN,0126-4069156182073,CAMISETA M/C ESS PUMA LOGO POLY TEE M PUMA BLACK MED,,,,
KEEP_NO_EAN,0126-4069156182066,CAMISETA M/C ESS PUMA LOGO POLY TEE M PUMA BLACK GRD,,,,
KEEP_NO_EAN,0126-4069156182028,CAMISETA M/C ESS PUMA LOGO POLY TEE M PUMA BLACK EGR,,,,
KEEP_NO_EAN,0126-4069156431331,CAMISETA M/C ESS PUMA LOGO POLY TEE M NEW NAVY PEQ,,,,
KEEP_NO_EAN,0126-4069156431393,CAMISETA M/C ESS PUMA LOGO POLY TEE M NEW NAVY MED,,,,
KEEP_NO_EAN,0126-4069156431386,CAMISETA M/C ESS PUMA LOGO POLY TEE M NEW NAVY GRD,,,,
KEEP_NO_EAN,0126-4069156431348,CAMISETA M/C ESS PUMA LOGO POLY TEE M NEW NAVY EGR,,,,
KEEP_NO_EAN,0126-4069156026179,CAMISETA M/C ESS PUMA LOGO POLY TEE M ROYAL PEQ,,,,
KEEP_NO_EAN,0126-4069156026230,CAMISETA M/C ESS PUMA LOGO POLY TEE M ROYAL MED,,,,
KEEP_NO_EAN,0126-4069156026223,CAMISETA M/C ESS PUMA LOGO POLY TEE M ROYAL GRD,,,,
KEEP_NO_EAN,0126-4069156026186,CAMISETA M/C ESS PUMA LOGO POLY TEE M ROYAL EGR,,,,
KEEP_NO_EAN,0126-4059507369741,MEIAO TEAM LIGA SOCKS CORE  PUMA WHITE-PUMA BLAC 39/43,,,,
WOULD_DELETE,0126-4063699209044,SHORTS TEAMWEAR TEAMRISE SHORT  PUMA WHIT/PUMA BLACK,4063699209044,2820-4063699209044,A DEFINIR,
WOULD_DELETE,0126-7895491346682,TENIS CT30140002 CHUCK TAYLOR ALL STAR LAVANDA 02/LILAS VIOLETA/BRANCO,7895491346682,0750-7895491346682,Converse,
WOULD_DELETE,0126-7895491353499,TENIS CO05900001 CONVERSE SPORT CASUAL PRETO/VERMELHO/BRANCO,7895491353499,0750-7895491353475,Converse,
WOULD_DELETE,0126-7895491369834,TENIS CO05840002 STAR PLAYER EV AZUL LAGO/MARINHO/BRANCO,7895491369834,0750-7895491369834,Converse,
WOULD_DELETE,0126-7895491346804,TENIS CT30140003 CHUCK TAYLOR ALL STAR VERDE PISCINA/AZUL LAGO/BRANCO,7895491346804,0750-7895491346804,Converse,
WOULD_DELETE,0126-7895491369957,TENIS CO05840003 STAR PLAYER EV MARROM ROBUSTO/PRETO/BRANCO,7895491369957,0750-7895491369957,Converse,
WOULD_DELETE,0126-7895491372759,TENIS CT31270001 CHUCK TAYLOR ALL STAR BRANCO/VERMELHO/BRANCO,7895491372759,0750-7895491372759,Converse,
WOULD_DELETE,0126-7909175430618,TENIS CT00010001 CHUCK TAYLOR ALL STAR BRANCO/BRANCO/MARINHO,7909175430618,0750-7909175430618,Converse,
WOULD_DELETE,0126-7909175464231,TENIS CT00010006 CHUCK TAYLOR ALL STAR ROSA/CRU/PRETO,7909175464231,0750-7909175464231,Converse,
WOULD_DELETE,0126-7909175442017,TENIS CT00010007 CHUCK TAYLOR ALL STAR PRETO/VERMELHO/PRETO,7909175442017,0750-7909175442017,Converse,
WOULD_DELETE,0126-7909175445612,TENIS CK00020007 CHUCK TAYLOR ALL STAR PRETO/VERMELHO/PRETO,7909175445612,0750-7909175445612,Converse,
WOULD_DELETE,0126-7909175445179,TENIS CK00020001 CHUCK TAYLOR ALL STAR BRANCO/BRANCO/MARINHO,7909175445179,0750-7909175445179,Converse,
WOULD_DELETE,0126-7909175465337,TENIS CK00040001 CHUCK TAYLOR ALL STAR BRANCO/BRANCO/MARINHO,7909175465337,0750-7909175465337,Converse,
WOULD_DELETE,0126-7909175446619,TENIS CK00040002 CHUCK TAYLOR ALL STAR PRETO/CRU/PRETO,7909175446619,0750-7909175446619,Converse,
WOULD_DELETE,0126-7909175446794,TENIS CK00040007 CHUCK TAYLOR ALL STAR PRETO/VERMELHO/PRETO,7909175446794,0750-7909175446794,Converse,
WOULD_DELETE,0126-7909175753823,TENIS CT09830001 CHUCK TAYLOR ALL STAR LIFT BRANCO/PRETO/BRANCO,7909175753823,0750-7909175753823,Converse,
WOULD_DELETE,0126-7895491340475,TENIS CK12990001 CHUCK TAYLOR ALL STAR BRANCO/AZUL/BRANCO,7895491340475,0750-7895491340475,Converse,
WOULD_DELETE,0126-7895491364891,TENIS CT09830003 CHUCK TAYLOR ALL STAR LIFT NUDE BEGE CLARO/CAQUI FOSCO 02/BRANCO,7895491364891,0750-7895491364891,Converse,
WOULD_DELETE,0126-7895491368998,TENIS CO06350001 CONVERSE SPORT CASUAL AMENDOA/VERMELHO VINHO/AMENDOA,7895491368998,0750-7895491368998,Converse,
WOULD_DELETE,0126-7895491372292,TENIS CK13280001 CHUCK TAYLOR ALL STAR PRETO/BRANCO/BRANCO,7895491372292,0750-7895491372292,Converse,
WOULD_DELETE,0126-7895491372520,TENIS CK13290001 CHUCK TAYLOR ALL STAR BRANCO/PRETO/BRANCO,7895491372520,0750-7895491372520,Converse,
WOULD_DELETE,0126-7909175430823,TENIS CT00040001 CHUCK TAYLOR ALL STAR BRANCO/BRANCO/MARINHO,7909175430823,0750-7909175430823,Converse,
WOULD_DELETE,0126-7909175445155,TENIS CK00010007 CHUCK TAYLOR ALL STAR PRETO/VERMELHO/PRETO,7909175445155,0750-7909175445155,Converse,
WOULD_DELETE,0126-7909175455741,TENIS CT00040006 CHUCK TAYLOR ALL STAR ROSA/CRU/PRETO,7909175455741,0750-7909175455741,Converse,
WOULD_DELETE,0126-7909175506238,TENIS CT04500003 CHUCK TAYLOR ALL STAR PRETO/VERMELHO/BRANCO,7909175506238,0750-7909175506238,Converse,
WOULD_DELETE,0126-7909175505996,TENIS CT04500001 CHUCK TAYLOR ALL STAR BRANCO/VERMELHO/MARINHO,7909175505996,0750-7909175505996,Converse,
WOULD_DELETE,0126-7895491365997,TENIS CT04190003 CHUCK TAYLOR ALL STAR VERDE OLIVA/PRETO/BRANCO,7895491365997,0750-7895491365997,Converse,
WOULD_DELETE,0126-7908341468103,TENIS CT04190052 CHUCK TAYLOR ALL STAR AMARELO/PRETO/BRANCO,7908341468103,0750-7908341468059,Converse,
WOULD_DELETE,0126-7895491287664,TENIS CT04500005 CHUCK TAYLOR ALL STAR CASCA DE NOZES/MARROM URSO/BRANCO,7895491287664,0750-7895491287664,Converse,
WOULD_DELETE,0126-7895491341052,TENIS CT04190081 CHUCK TAYLOR ALL STAR AZUL SUPERLUA/PRETO/BRANCO,7895491341052,0750-7895491341052,Converse,
WOULD_DELETE,0126-7895491342806,TENIS CT04190082 CHUCK TAYLOR ALL STAR MARROM NUDE/PRETO/BRANCO,7895491342806,0750-7895491342806,Converse,
WOULD_DELETE,0126-7895491364594,TENIS CT04500006 CHUCK TAYLOR ALL STAR NUDE BEGE CLARO/CAQUI FOSCO 02/BRANCO,7895491364594,0750-7895491364594,Converse,
WOULD_DELETE,0126-7895491342516,TENIS CT04200083 CHUCK TAYLOR ALL STAR VERDE NATURAL/PRETO/BRANCO,7895491342516,0750-7895491342370,Converse,
WOULD_DELETE,0126-7895491366215,TENIS CT04200003 CHUCK TAYLOR ALL STAR VERDE OLIVA/PRETO/BRANCO,7895491366215,0750-7895491366215,Converse,
WOULD_DELETE,0126-7908341470939,TENIS CT04200052 CHUCK TAYLOR ALL STAR AMARELO/PRETO/BRANCO,7908341470939,0750-7908341470939,Converse,
WOULD_DELETE,0126-7895491341496,TENIS CT04200081 CHUCK TAYLOR ALL STAR AZUL SUPERLUA/PRETO/BRANCO,7895491341496,0750-7895491341496,Converse,
WOULD_DELETE,0126-7895491341939,TENIS CT04200082 CHUCK TAYLOR ALL STAR MARROM NUDE/PRETO/BRANCO,7895491341939,0750-7895491341939,Converse,
WOULD_DELETE,0126-7909434596833,350002 TENIS COURO 50 PHIBO 1123 WAGASHI OE,7909434596833,0190-7909434596833,A DEFINIR,
WOULD_DELETE,0126-7909434687760,350002 TENIS SINT 51 PHIBO 1123 PB OCRE OE,7909434687760,0190-7909434687760,A DEFINIR,
WOULD_DELETE,0126-7909434688439,350004 TENIS COURO 41 UENO SALUTE 02 ESSENCIAL,7909434688439,0190-7909434688439,A DEFINIR,
WOULD_DELETE,0126-7909434752987,350043 TENIS COURO 12 2K PRT CHANTILLY ESSENCIAL,7909434752987,0190-7909434752987,A DEFINIR,
WOULD_DELETE,0126-7909434817235,350043 TENIS COURO 15 2K NOTURNO REFLETIVO ESSENCIAL,7909434817235,0190-7909434817235,A DEFINIR,
WOULD_DELETE,0126-7909434817693,350044 TENIS COURO 08 IMIGRANTE SERIE X PRT CHANTILLY DIJON ESSENCIAL,7909434817693,0190-7909434817693,A DEFINIR,
WOULD_DELETE,0126-7909434890771,350050 TENIS COURO 02 NACCARATO V BCO AZUL IMPERIAL,7909434890771,0190-7909434890771,A DEFINIR,
WOULD_DELETE,0126-7909434881281,350001 TENIS COURO 123 IMIGRANTE MEGA CHANTILLY PRETO REFLEX IMPERIAL,7909434881281,0190-7909434881281,A DEFINIR,
WOULD_DELETE,0126-7909434890269,350044 TENIS COURO 18 IMIGRANTE SERIE X CORAL PINK ESSENCIAL,7909434890269,0190-7909434890252,A DEFINIR,
KEEP_NO_EAN,0126-7909434937186,351126 PDVS PDV TOTEM OUS 7 SUPORTE COR A DEFINIR 1,,,,
